,HC_ward,HC_avg,HC_single,HC_comp,KM,GMM_full,GMM_tied,GMM_diag,GMM_spher,KCC
breast,0.8664255716822219,0.7707622978213716,0.002574746428175984,0.48534848395832525,0.8390539943516021,0.6432316443172174,0.7914170606659573,0.7578951527680833,0.7881586786464989,0.8769414093574075
ecoli,0.48581317266607343,0.7448672490337442,0.039863217349138606,0.6161381012135562,0.4696742227988307,0.61908543190105,0.600884672984671,0.39239421186971596,0.4427217338053072,0.34758123534403007
iris,0.7311985567707746,0.7591987071071522,0.5637510205230709,0.6422512518362898,0.7302382722834697,0.9038742317748124,0.8856970310281228,0.7591987071071522,0.7302382722834697,0.7455038681804481
pen-based,0.5532013764147102,0.4145276866941694,-5.600823873117857e-06,0.31878717518165434,0.5305155719966858,0.5620869248562157,0.5624058147971692,0.4238394806750702,0.585487377379699,0.5165969946613167
statlog,0.4263213484508213,0.28512943150611086,0.0002725728274290639,0.3026631748831832,0.5298244001788686,0.46382781077896296,0.5502946697045253,0.5008049255974353,0.4915562288348299,0.3929416633998701
dermatology,0.030787185236869522,0.04104860560640967,0.001082710724881856,0.03272580857344933,0.02465533751520111,0.2546623938917087,0.37724258183683357,0.7371865307271279,0.03787131499162689,0.015041826341670471
wine,0.15136541889944766,0.026539892844283437,-0.00381934509398756,0.13749361099922733,0.13361527958374725,0.39142371602190734,0.5283906893626982,0.7407034373768705,0.13317071751935158,0.04294907466305515
