,HC_ward,HC_avg,HC_single,HC_comp,KM,GMM_full,GMM_tied,GMM_diag,GMM_spher,KCC
breast,0.010985612869262695,0.008486747741699219,0.0039865970611572266,0.006494998931884766,0.055535316467285156,0.13233256340026855,0.07221627235412598,0.0531773567199707,0.055458784103393555,2.5743939876556396
ecoli,0.001992940902709961,0.002495288848876953,0.0009961128234863281,0.0019931793212890625,0.05934309959411621,0.28451085090637207,0.11655807495117188,0.0870213508605957,0.06633830070495605,4.07299542427063
iris,0.0015015602111816406,0.0,0.0,0.0013890266418457031,0.04300403594970703,0.12204384803771973,0.0602269172668457,0.0343785285949707,0.038213491439819336,0.646780252456665
pen-based,2.572838544845581,2.7851932048797607,0.5748989582061768,2.5451197624206543,0.13963770866394043,12.877567052841187,2.332563638687134,3.1641366481781006,1.1209690570831299,1785.1253101825714
statlog,0.8883564472198486,0.9300644397735596,0.2997159957885742,0.9033253192901611,0.1310420036315918,9.52775764465332,2.4448821544647217,0.9083890914916992,0.7349584102630615,586.7427852153778
dermatology,0.00299072265625,0.001993417739868164,0.001993417739868164,0.0029914379119873047,0.05977487564086914,0.5060422420501709,0.8069822788238525,0.07335948944091797,0.04685664176940918,2.5865821838378906
wine,0.0,0.0009968280792236328,0.0,0.0009965896606445312,0.04809689521789551,0.1502537727355957,0.10328173637390137,0.0388484001159668,0.04055309295654297,0.7547988891601562
