,HC_ward,HC_avg,HC_single,HC_comp,KM,GMM_full,GMM_tied,GMM_diag,GMM_spher,KernelKM,KCC
breast,0.011466026306152344,0.005979776382446289,0.0024962425231933594,0.004983425140380859,0.06041765213012695,0.1058957576751709,0.07078385353088379,0.05634570121765137,0.05655980110168457,0.1494598388671875,0.685988187789917
ecoli,0.0009965896606445312,0.0020029544830322266,0.0009999275207519531,0.0019989013671875,0.059195518493652344,0.21305418014526367,0.09119534492492676,0.07163429260253906,0.05766797065734863,0.031151771545410156,2.3057992458343506
iris,0.0,0.0009965896606445312,0.0013833045959472656,0.0,0.05401277542114258,0.1258258819580078,0.05167388916015625,0.037430524826049805,0.03879499435424805,0.018273353576660156,0.5233886241912842
pen-based,2.166574478149414,2.301255464553833,0.5561127662658691,2.3875961303710938,0.10427522659301758,14.728248596191406,2.5455429553985596,3.133246660232544,0.8377339839935303,41.0910279750824,73.60829997062683
statlog,0.9273965358734131,0.9837691783905029,0.2998692989349365,0.9500579833984375,0.11516618728637695,8.640496015548706,2.18735408782959,1.0207533836364746,0.6601598262786865,9.48779010772705,25.153612852096558
dermatology,0.0029850006103515625,0.0015022754669189453,0.002989053726196289,0.0020172595977783203,0.06776309013366699,0.6766786575317383,0.6930887699127197,0.08266234397888184,0.07685136795043945,0.06106281280517578,1.961148738861084
wine,0.0009965896606445312,0.0,0.0014986991882324219,0.000997304916381836,0.05505490303039551,0.16736698150634766,0.10096621513366699,0.051125288009643555,0.06058764457702637,0.02353668212890625,0.4499490261077881
