,Uc,Uh,Ucos,ULp5,ULp8,NUc,NUh,NUcos,NULp5,NULp8
breast,0.14266,0.83917,0.88249,0.13869,0.84446,0.15194,0.40673,0.13869,0.21695,0.14098
ecoli,0.30517,0.34054,0.33496,0.31192,0.40187,0.35145,0.30449,0.40810,0.35735,0.30799
iris,0.74550,0.64230,0.74550,0.74550,0.74550,0.51106,0.73230,0.74550,0.74550,0.64445
pen-based,0.58581,0.45198,0.56790,0.57905,0.61744,0.44188,0.52533,0.47362,0.50043,0.62502
satimage,0.29342,0.43219,0.35791,0.39200,0.56671,0.19787,0.56755,0.53766,0.40654,0.38825
dermatology,0.00162,0.04187,0.02517,0.00508,0.03318,0.03170,0.04151,0.02997,0.06174,0.04812
wine,0.14211,0.15238,0.14211,0.14211,0.14211,0.15127,0.13479,0.14211,0.14211,0.14211
