,Uc,Uh,Ucos,ULp5,ULp8,NUc,NUh,NUcos,NULp5,NULp8
breast,0.8337222510377794,0.8337222510377794,0.8337222510377794,0.8337222510377794,0.8337222510377794,0.8337222510377794,0.8337222510377794,0.8337222510377794,0.8337222510377794,0.8337222510377794
ecoli,0.6613008733600351,0.28568102134457213,0.2973208398494448,0.509826649034423,0.37879376448976604,0.4005477836255887,0.5165468364528475,0.34400589117409625,0.423185947548204,0.2947818400082274
iris,0.7302382722834697,0.7455038681804481,0.7455038681804481,0.7302382722834697,0.651640745566614,0.7455038681804481,0.6013052891321516,0.7455038681804481,0.7302382722834697,0.7302382722834697
pen-based,0.48818364606545817,0.5348300462496031,0.5404182557855213,0.5095138603804046,0.580264546450018,0.399518692310132,0.49914319128085893,0.48341776080189924,0.45692924887469444,0.4410743698449732
statlog,0.5281692998325178,0.1753164731395237,0.3856516172117165,0.38767556938676967,0.4867251562829069,0.4180603463688989,0.5360730001552738,0.5309561638137906,0.3873343509981253,0.418126478449281
dermatology,0.04162653504258188,0.02537679750474374,0.02027869912166632,0.0217905383155665,0.019632228314429786,0.039899451928770605,0.026239074624209505,0.03606187444543666,0.019193873584712105,0.018266197564527936
wine,0.12781688560653942,0.053698202232464666,0.13790663170383055,0.12781688560653942,0.12781688560653942,0.07138057615366726,0.14749152689520365,0.13478822446919458,0.13478822446919458,0.13478822446919458
