,Uc,Uh,Ucos,ULp5,ULp8,NUc,NUh,NUcos,NULp5,NULp8,KMeans_100times
breast,0.09325146675109863,0.06748270988464355,0.052660226821899414,0.11259222030639648,0.10163402557373047,0.06515049934387207,0.0772862434387207,0.061713457107543945,0.09472322463989258,0.09400129318237305,0.7516133785247803
ecoli,0.33971071243286133,0.28339290618896484,0.4166572093963623,0.1621098518371582,0.4510841369628906,0.2599642276763916,0.37221455574035645,0.36869168281555176,0.7527604103088379,0.3306405544281006,0.7328507900238037
iris,0.08399009704589844,0.05060601234436035,0.05992722511291504,0.04295659065246582,0.061444997787475586,0.06444525718688965,0.0540621280670166,0.05309438705444336,0.11669540405273438,0.07479643821716309,0.6549651622772217
pen-based,8.226774215698242,20.89302086830139,16.181636810302734,20.044371366500854,19.604932069778442,9.19446086883545,6.704487562179565,7.262416839599609,8.890260696411133,22.796831130981445,1.5625433921813965
statlog,2.4122390747070312,4.879472970962524,5.1324851512908936,7.69147253036499,5.502446174621582,2.8238775730133057,5.228485584259033,6.249582529067993,7.970080137252808,3.315068244934082,1.1183114051818848
dermatology,0.18285298347473145,0.12422943115234375,0.15398645401000977,0.2825431823730469,0.27770113945007324,0.1974468231201172,0.19825530052185059,0.1949760913848877,0.24680447578430176,0.5499482154846191,0.733151912689209
wine,0.09474754333496094,0.051229238510131836,0.04440498352050781,0.0789487361907959,0.07824826240539551,0.039090633392333984,0.06215333938598633,0.08958888053894043,0.11864089965820312,0.07682275772094727,0.646127462387085
